"Detector","ID","Name","Description","Recommendation","DocURL"
"IAAS_CONFIGURATION_DETECTOR","API_KEY_TOO_OLD","API key is too old","Changing IAM API keys at least every 90 days is a security best practice. The longer that IAM credentials remain unchanged, the greater the risk that they can become compromised.","Rotate API keys regularly, at least every 90 days.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__API_KEY_TOO_OLD"
"IAAS_CONFIGURATION_DETECTOR","BLOCK_VOLUME_ENCRYPTED_WITH_ORACLE_MANAGED_KEY","Block Volume is encrypted with Oracle-managed key","Encryption of volumes provides an additional level of security on your data. Management of encryption keys is critical to protecting and accessing protected data. Some customers want to identify Block Volumes encrypted Oracle-managed keys in order to apply their own key lifecycle management to the volume.","Assign a vault key to this volume","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__BLOCK_VOLUME_ENCRYPTED_WITH_ORACLE_MANAGED_KEY"
"IAAS_CONFIGURATION_DETECTOR","BLOCK_VOLUME_NOT_ATTACHED","Block Volume is not attached","Detaching a block volume decouples the volume from its associated instance and could affect data available. This could affect data availability from business-critical data to point-in-time copies of volumes as backups.","Ensure that the block volume is not required to be attached to a compute instance for proper operation.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__BLOCK_VOLUME_NOT_ATTACHED"
"IAAS_CONFIGURATION_DETECTOR","BUCKET_IS_PUBLIC","Bucket is public","Object Storage supports anonymous, unauthenticated access to a bucket. A public bucket that has read access enabled for anonymous users allows anyone to obtain object metadata, download bucket objects, and optionally list bucket contents.","Ensure that the bucket is sanctioned for public access, and if not, direct the OCI administrator to restrict the bucket policy to allow only specific users access to the resources required to accomplish their job functions.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__BUCKET_IS_PUBLIC"
"IAAS_CONFIGURATION_DETECTOR","DATA_SAFE_NOT_ENABLED","Data Safe is not enabled","Data Safe helps ensure your databases are securely configured. This service should be activated to help monitor, secure, and mitigate risks inside your Oracle cloud databases.","Enable Data Safe and configure assessments to evaluate and monitor configuration, check user activities, and mitigate risks.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__DATA_SAFE_NOT_ENABLED"
"IAAS_CONFIGURATION_DETECTOR","DATABASE_HAS_PUBLIC_IP","Database System has public IP address","Use of a public IP address to access a database increases your exposure to potential security and business continuity risks.","Ensure that the database system does not have a public IP address.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__DATABASE_HAS_PUBLIC_IP"
"IAAS_CONFIGURATION_DETECTOR","DATABASE_PUBLICLY_ACCESSIBLE","Database System is publicly accessible","This detector rule identifies all database systems that have a public IP assigned and reside on a public subnet reachable via an Internet Gateway and allows traffic from ""All protocols""","Carefully consider allowing internet access to any database system. For a database system to be publicly addressable, it must have a public IP, exist in a public VCN subnet or in VCN NSG ingress security rule, the VCN must have an Internet Gateway enabled and be configured for outbound traffic and the security list for the subnet must be configured for all IPs and all ports (0.0.0.0/0).","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__DATABASE_PUBLICLY_ACCESSIBLE"
"IAAS_CONFIGURATION_DETECTOR","DATABASE_SYSTEM_VERSION_NOT_SANCTIONED","Database System version is not sanctioned","Running unsanctioned versions of DB Systems may increase your chances of a security breach, putting your data confidentiality, integrity, and availability at risk.","Oracle recommends that the deployed Database system version is approved and tested.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__DATABASE_SYSTEM_VERSION_NOT_SANCTIONED"
"IAAS_CONFIGURATION_DETECTOR","DATABASE_HAS_NO_AUTO_BACKUP","Database is not backed up automatically","Enabling automatic backup ensures that you will be able to restore the database with minimal data loss, if there is a catastrophic hardware failure.","Ensure that automatic backup is enabled.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__DATABASE_HAS_NO_AUTO_BACKUP"
"IAAS_CONFIGURATION_DETECTOR","DATA_SAFE_DB_NOT_REGISTERED","Database is not registered in Data Safe","Data Safe helps ensure your databases are securely configured. An Oracle cloud database has been discovered that is not yet registered with Data Safe.","Register this database instance with Data Safe and configure assessments to evaluate and monitor configuration, check user activities, and mitigate risks.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__DATA_SAFE_DB_NOT_REGISTERED"
"IAAS_CONFIGURATION_DETECTOR","DATABASE_PATCH_NOT_APPLIED","Database patch is not applied","Database patches address functionality, security, and performance issues. The vast majority of security breaches can be prevented by applying available patches.","Oracle recommends that released patches be applied to the database as soon as possible.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__DATABASE_PATCH_NOT_APPLIED"
"IAAS_CONFIGURATION_DETECTOR","DATABASE_SYSTEM_PATCH_NOT_APPLIED","Database system patch is not applied","Database system patches often include updates that eliminate known security vulnerabilities. Raise a problem when a database system is discovered which has one or more patches, available for 10 days or more, that have not been applied.","Oracle recommends that released patches be applied to the DB system as soon as possible.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__DATABASE_SYSTEM_PATCH_NOT_APPLIED"
"IAAS_CONFIGURATION_DETECTOR","DATABASE_VERSION_NOT_SANCTIONED","Database version is not sanctioned","The sanctioned version of a database has the most recent security features and vulnerability patches.","Oracle recommends that the deployed Database version is approved and tested.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__DATABASE_VERSION_NOT_SANCTIONED"
"IAAS_CONFIGURATION_DETECTOR","AUTH_TOKEN_TOO_OLD","IAM Auth token is too old","Changing IAM Auth Tokens at least every 90 days is a security best practice. The longer that IAM credentials remain unchanged, the greater the risk that they can become compromised.","Rotate IAM Auth token regularly, at least every 90 days.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__AUTH_TOKEN_TOO_OLD"
"IAAS_CONFIGURATION_DETECTOR","SECRET_KEY_TOO_OLD","IAM Customer secret key is too old","Changing IAM Customer secret keys at least every 90 days is a security best practice. The longer that IAM credentials remain unchanged, the greater the risk that they can become compromised.","Rotate IAM Customer secret  keys regularly, at least every 90 days.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__SECRET_KEY_TOO_OLD"
"IAAS_CONFIGURATION_DETECTOR","OCI_IAM_GRP_FEW_MEMBERS_FOUND","IAM group has too few members","IAM group membership frequently grants access to resources and features. Group memberships that have too few members may represent excess privileges being ""orphaned"".","Review the group membership related privileges to ensure that excessive or orphaned privileges are not present.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__OCI_IAM_GRP_FEW_MEMBERS_FOUND"
"IAAS_CONFIGURATION_DETECTOR","OCI_IAM_GRP_TOO_MANY_MEMBERS_FOUND","IAM group has too many members","IAM group membership frequently grants access to resources and features. Group memberships that have too many members may represent overly permissive privileges being given to too many users.","Review the group membership and related privileges to ensure that excessive privileges or overly broad memberships to privileges are not present.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__OCI_IAM_GRP_TOO_MANY_MEMBERS_FOUND"
"IAAS_CONFIGURATION_DETECTOR","INSTANCE_WITH_PUBLIC_IP","Instance has a public IP address","Checks public IP only","Carefully consider allowing internet access to any instances. For example, you do not want to accidentally allow internet access to sensitive database instances.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__INSTANCE_WITH_PUBLIC_IP"
"IAAS_CONFIGURATION_DETECTOR","INSTANCE_NOT_RUNNING_OPC","Instance is not running an Oracle public image","This identifies all instances not built from Oracle public images. Custom Images and Boot volumes are considered as non-public Oracle images.","Ensure that your instances are all running sanctioned images from trusted sources.","https://docs.oracle.com/en-us/iaas/Content/cloud-guard/using/detect-recipes.htm#detect-recipes-ref-config__INSTANCE_NOT_RUNNING_OPC"
